Date,Series,Value,Series,Value
5/30/2017,Volume Intensity,0.0002,Average Tone,-7.3834
5/31/2017,Volume Intensity,0.0005,Average Tone,-4.8966
6/1/2017,Volume Intensity,0.0007,Average Tone,-5.6885
6/2/2017,Volume Intensity,0.0001,Average Tone,-4.295
6/3/2017,Volume Intensity,0,Average Tone,0
6/4/2017,Volume Intensity,0.0007,Average Tone,-3.3805
6/5/2017,Volume Intensity,0.0006,Average Tone,-5.9989
6/6/2017,Volume Intensity,0.0003,Average Tone,-2.103
6/7/2017,Volume Intensity,0.0001,Average Tone,-2.6578
6/8/2017,Volume Intensity,0.0001,Average Tone,-4.2918
6/9/2017,Volume Intensity,0.0003,Average Tone,-4.6798
6/10/2017,Volume Intensity,0,Average Tone,0
6/11/2017,Volume Intensity,0,Average Tone,0
6/12/2017,Volume Intensity,0.0004,Average Tone,-0.8591
6/13/2017,Volume Intensity,0.0027,Average Tone,-1.3678
6/14/2017,Volume Intensity,0.0001,Average Tone,0.4702
6/15/2017,Volume Intensity,0,Average Tone,0
6/16/2017,Volume Intensity,0,Average Tone,0
6/17/2017,Volume Intensity,0.0005,Average Tone,-1.3377
6/18/2017,Volume Intensity,0.0005,Average Tone,2.6094
6/19/2017,Volume Intensity,0.0001,Average Tone,-2.6971
6/20/2017,Volume Intensity,0,Average Tone,0
6/21/2017,Volume Intensity,0.0001,Average Tone,-5.9289
6/22/2017,Volume Intensity,0.0006,Average Tone,-2.643
6/23/2017,Volume Intensity,0.0002,Average Tone,1.6461
6/24/2017,Volume Intensity,0,Average Tone,0
6/25/2017,Volume Intensity,0,Average Tone,0
6/26/2017,Volume Intensity,0,Average Tone,0
6/27/2017,Volume Intensity,0,Average Tone,0
6/28/2017,Volume Intensity,0,Average Tone,0
6/29/2017,Volume Intensity,0,Average Tone,0
6/30/2017,Volume Intensity,0,Average Tone,0
7/1/2017,Volume Intensity,0.0003,Average Tone,3.652
7/2/2017,Volume Intensity,0.0003,Average Tone,0.2433
7/3/2017,Volume Intensity,0.0002,Average Tone,0.5376
7/4/2017,Volume Intensity,0.0002,Average Tone,-0.3263
7/5/2017,Volume Intensity,0.0023,Average Tone,-2.4148
7/6/2017,Volume Intensity,0.0003,Average Tone,-0.9061
7/7/2017,Volume Intensity,0,Average Tone,0
7/8/2017,Volume Intensity,0.0005,Average Tone,-1.7683
7/9/2017,Volume Intensity,0.0003,Average Tone,-6.9063
7/10/2017,Volume Intensity,0.0004,Average Tone,-0.4124
7/11/2017,Volume Intensity,0.0003,Average Tone,1.8737
7/12/2017,Volume Intensity,0.0002,Average Tone,-0.2946
7/13/2017,Volume Intensity,0,Average Tone,0
7/14/2017,Volume Intensity,0.0004,Average Tone,-0.5525
7/15/2017,Volume Intensity,0,Average Tone,0
7/16/2017,Volume Intensity,0,Average Tone,0
7/17/2017,Volume Intensity,0,Average Tone,0
7/18/2017,Volume Intensity,0.0002,Average Tone,1.2085
7/19/2017,Volume Intensity,0.0002,Average Tone,-3.4762
7/20/2017,Volume Intensity,0.0003,Average Tone,0.3443
7/21/2017,Volume Intensity,0.0004,Average Tone,-3.5233
7/22/2017,Volume Intensity,0,Average Tone,0
7/23/2017,Volume Intensity,0,Average Tone,0
7/24/2017,Volume Intensity,0,Average Tone,0
7/25/2017,Volume Intensity,0.0002,Average Tone,-4.5487
7/26/2017,Volume Intensity,0,Average Tone,0
7/27/2017,Volume Intensity,0.0011,Average Tone,-2.9275
7/28/2017,Volume Intensity,0.0013,Average Tone,-2.8369
7/29/2017,Volume Intensity,0,Average Tone,0
7/30/2017,Volume Intensity,0.0003,Average Tone,-0.2987
7/31/2017,Volume Intensity,0.0006,Average Tone,-2.8961
8/1/2017,Volume Intensity,0.0002,Average Tone,-1.727
8/2/2017,Volume Intensity,0.0004,Average Tone,-2.2444
8/3/2017,Volume Intensity,0.0003,Average Tone,-2.5272
8/4/2017,Volume Intensity,0.0003,Average Tone,-0.7208
8/5/2017,Volume Intensity,0,Average Tone,0
8/6/2017,Volume Intensity,0,Average Tone,0
8/7/2017,Volume Intensity,0.0002,Average Tone,0.6734
8/8/2017,Volume Intensity,0.0008,Average Tone,-3.4162
8/9/2017,Volume Intensity,0,Average Tone,0
8/10/2017,Volume Intensity,0,Average Tone,0
8/11/2017,Volume Intensity,0.0002,Average Tone,-4.9894
8/12/2017,Volume Intensity,0.0005,Average Tone,-4.4146
8/13/2017,Volume Intensity,0,Average Tone,0
8/14/2017,Volume Intensity,0.0004,Average Tone,-3.21
8/15/2017,Volume Intensity,0.0005,Average Tone,-5.8079
8/16/2017,Volume Intensity,0,Average Tone,0
8/17/2017,Volume Intensity,0.0003,Average Tone,-2.2828
8/18/2017,Volume Intensity,0.0002,Average Tone,-3.8424
8/19/2017,Volume Intensity,0.0007,Average Tone,-2.064
8/20/2017,Volume Intensity,0.0008,Average Tone,-1.0429
8/21/2017,Volume Intensity,0,Average Tone,0
8/22/2017,Volume Intensity,0.0005,Average Tone,-3.2524
8/23/2017,Volume Intensity,0.0002,Average Tone,-4.4168
8/24/2017,Volume Intensity,0.0004,Average Tone,-1.6789
8/25/2017,Volume Intensity,0,Average Tone,0
8/26/2017,Volume Intensity,0,Average Tone,0
8/27/2017,Volume Intensity,0,Average Tone,0
8/28/2017,Volume Intensity,0.0005,Average Tone,-3.0403
8/29/2017,Volume Intensity,0,Average Tone,0
8/30/2017,Volume Intensity,0.0001,Average Tone,2.7875
8/31/2017,Volume Intensity,0.0003,Average Tone,2.6057
9/1/2017,Volume Intensity,0,Average Tone,0
9/2/2017,Volume Intensity,0,Average Tone,0
9/3/2017,Volume Intensity,0.0005,Average Tone,-3.2706
9/4/2017,Volume Intensity,0,Average Tone,0
9/5/2017,Volume Intensity,0,Average Tone,0
9/6/2017,Volume Intensity,0.0001,Average Tone,-6.7861
9/7/2017,Volume Intensity,0.0001,Average Tone,-1.8566
9/8/2017,Volume Intensity,0,Average Tone,0
9/9/2017,Volume Intensity,0.0002,Average Tone,-0.8867
9/10/2017,Volume Intensity,0,Average Tone,0
9/11/2017,Volume Intensity,0.0002,Average Tone,-0.4518
9/12/2017,Volume Intensity,0.0009,Average Tone,-0.1866
9/13/2017,Volume Intensity,0.0019,Average Tone,-1.0241
9/14/2017,Volume Intensity,0.0009,Average Tone,-0.7218
9/15/2017,Volume Intensity,0.0002,Average Tone,-1.7102
9/16/2017,Volume Intensity,0,Average Tone,0
9/17/2017,Volume Intensity,0,Average Tone,0
9/18/2017,Volume Intensity,0.0002,Average Tone,-6.288
9/19/2017,Volume Intensity,0,Average Tone,0
9/20/2017,Volume Intensity,0.0003,Average Tone,2.5416
9/21/2017,Volume Intensity,0,Average Tone,0
9/22/2017,Volume Intensity,0.0003,Average Tone,-1.107
9/23/2017,Volume Intensity,0.0009,Average Tone,-3.1425
9/24/2017,Volume Intensity,0,Average Tone,0
9/25/2017,Volume Intensity,0.0002,Average Tone,2.6217
9/26/2017,Volume Intensity,0.0002,Average Tone,-3.8259
9/27/2017,Volume Intensity,0,Average Tone,0
9/28/2017,Volume Intensity,0.0003,Average Tone,-7.369
9/29/2017,Volume Intensity,0,Average Tone,0
9/30/2017,Volume Intensity,0,Average Tone,0
10/1/2017,Volume Intensity,0,Average Tone,0
10/2/2017,Volume Intensity,0.0002,Average Tone,-7.3718
10/3/2017,Volume Intensity,0.0009,Average Tone,-1.7151
10/4/2017,Volume Intensity,0.0005,Average Tone,-0.5941
10/5/2017,Volume Intensity,0.0002,Average Tone,-0.0564
10/6/2017,Volume Intensity,0.0002,Average Tone,4.8673
10/7/2017,Volume Intensity,0.0002,Average Tone,-2.974
10/8/2017,Volume Intensity,0.0003,Average Tone,-1.5469
10/9/2017,Volume Intensity,0.0003,Average Tone,-1.9778
10/10/2017,Volume Intensity,0.0002,Average Tone,-3.1281
10/11/2017,Volume Intensity,0.0004,Average Tone,-3.1675
10/12/2017,Volume Intensity,0.0003,Average Tone,-5.3317
10/13/2017,Volume Intensity,0.0002,Average Tone,-4.1801
10/14/2017,Volume Intensity,0.0002,Average Tone,-1.0228
10/15/2017,Volume Intensity,0.0012,Average Tone,-4.1778
10/16/2017,Volume Intensity,0.001,Average Tone,-4.1778
10/17/2017,Volume Intensity,0.0001,Average Tone,-1.31
10/18/2017,Volume Intensity,0,Average Tone,0
10/19/2017,Volume Intensity,0.0003,Average Tone,-1.3416
10/20/2017,Volume Intensity,0.0001,Average Tone,2.9358
10/21/2017,Volume Intensity,0,Average Tone,0
10/22/2017,Volume Intensity,0.0005,Average Tone,-1.1425
10/23/2017,Volume Intensity,0.0003,Average Tone,-1.9791
10/24/2017,Volume Intensity,0.0003,Average Tone,-0.3813
10/25/2017,Volume Intensity,0.0007,Average Tone,2.0229
10/26/2017,Volume Intensity,0.0011,Average Tone,-1.4382
10/27/2017,Volume Intensity,0.0005,Average Tone,0.6648
10/28/2017,Volume Intensity,0.0005,Average Tone,-3.0047
10/29/2017,Volume Intensity,0.0002,Average Tone,0.767
10/30/2017,Volume Intensity,0.0002,Average Tone,0.6548
10/31/2017,Volume Intensity,0.0025,Average Tone,-4.0023
11/1/2017,Volume Intensity,0.0001,Average Tone,2.8499
11/2/2017,Volume Intensity,0,Average Tone,0
11/3/2017,Volume Intensity,0.0013,Average Tone,-1.1912
11/4/2017,Volume Intensity,0.0005,Average Tone,-2.6137
11/5/2017,Volume Intensity,0.0005,Average Tone,-0.9406
11/6/2017,Volume Intensity,0,Average Tone,0
11/7/2017,Volume Intensity,0.0001,Average Tone,-0.1194
11/8/2017,Volume Intensity,0,Average Tone,0
11/9/2017,Volume Intensity,0.0003,Average Tone,-1.2787
11/10/2017,Volume Intensity,0.0003,Average Tone,-3.8441
11/11/2017,Volume Intensity,0.0007,Average Tone,-1.1981
11/12/2017,Volume Intensity,0.0002,Average Tone,-5.8863
11/13/2017,Volume Intensity,0.0004,Average Tone,-1.0329
